,Sector,intersection,climate,health
0,banks,1.0,15.0,101.0
1,beverages,2.0,56.0,136.0
2,construction & materials,37.0,377.0,1933.0
3,diversified,15.0,324.0,1078.0
4,electricity,133.0,1126.0,3826.0
5,electronic & electrical equ...,16.0,502.0,210.0
6,finance and credit services,0.0,26.0,64.0
7,financial services,7.0,190.0,89.0
8,food producers,31.0,287.0,2058.0
9,"gas, water & multiutilities",13.0,73.0,253.0
10,general industrials,4.0,106.0,466.0
11,industrial metals & mining,4.0,89.0,1310.0
12,industrial metals and mining,14.0,81.0,480.0
13,industrial support services,3.0,93.0,1351.0
14,industrial transportation,1.0,14.0,88.0
15,life insurance,5.0,69.0,223.0
16,media,1.0,7.0,138.0
17,medical equipment and services; health care providers,0.0,0.0,0.0
18,nonlife insurance,6.0,62.0,575.0
19,not applicable,4.0,32.0,359.0
20,"oil, gas, & coal",1.0,35.0,285.0
21,personal goods,6.0,31.0,113.0
22,pharmaceuticals & biotechno...,2.0,5.0,89.0
23,real estate investment & se...,0.0,11.0,54.0
24,retailers,14.0,121.0,665.0
25,technology hardware & equip...,0.0,0.0,1.0
26,telecommunications equipment; telecommunications service providers,8.0,120.0,435.0
27,travel & leisure,0.0,9.0,5.0
