,SIDS,Year,intersection,climate,health,sum
13,SIDS,2011.0,16.0,228.0,526.0,770.0
14,SIDS,2012.0,21.0,412.0,814.0,1247.0
15,SIDS,2013.0,25.0,424.0,1002.0,1451.0
16,SIDS,2014.0,17.0,324.0,829.0,1170.0
17,SIDS,2015.0,16.0,360.0,598.0,974.0
18,SIDS,2016.0,29.0,292.0,539.0,860.0
19,SIDS,2017.0,27.0,294.0,657.0,978.0
20,SIDS,2018.0,47.0,389.0,786.0,1222.0
21,SIDS,2019.0,57.0,679.0,1189.0,1925.0
22,SIDS,2020.0,99.0,768.0,1317.0,2184.0
23,SIDS,2021.0,243.0,1651.0,4228.0,6122.0
24,SIDS,2022.0,317.0,2692.0,4706.0,7715.0
25,SIDS,2023.0,219.0,3531.0,3469.0,7219.0
26,Tier 1,2011.0,563.0,9449.0,19260.0,29272.0
27,Tier 1,2012.0,537.0,10587.0,23185.0,34309.0
28,Tier 1,2013.0,568.0,10885.0,23954.0,35407.0
29,Tier 1,2014.0,588.0,11737.0,26881.0,39206.0
30,Tier 1,2015.0,677.0,11524.0,28735.0,40936.0
31,Tier 1,2016.0,788.0,12526.0,28901.0,42215.0
32,Tier 1,2017.0,944.0,13314.0,30229.0,44487.0
33,Tier 1,2018.0,883.0,13795.0,33274.0,47952.0
34,Tier 1,2019.0,1188.0,17774.0,36688.0,55650.0
35,Tier 1,2020.0,1522.0,22258.0,40721.0,64501.0
36,Tier 1,2021.0,4422.0,40945.0,97012.0,142379.0
37,Tier 1,2022.0,5195.0,61001.0,99239.0,165435.0
38,Tier 1,2023.0,7585.0,117516.0,115946.0,241047.0
39,Tier 2,2011.0,131.0,1866.0,4079.0,6076.0
40,Tier 2,2012.0,81.0,1882.0,4915.0,6878.0
41,Tier 2,2013.0,144.0,1868.0,5434.0,7446.0
42,Tier 2,2014.0,89.0,1738.0,4210.0,6037.0
43,Tier 2,2015.0,118.0,1872.0,5258.0,7248.0
44,Tier 2,2016.0,143.0,2328.0,5721.0,8192.0
45,Tier 2,2017.0,124.0,2180.0,4999.0,7303.0
46,Tier 2,2018.0,198.0,2355.0,5025.0,7578.0
47,Tier 2,2019.0,208.0,3225.0,6284.0,9717.0
48,Tier 2,2020.0,284.0,3214.0,6200.0,9698.0
49,Tier 2,2021.0,657.0,6291.0,14631.0,21579.0
50,Tier 2,2022.0,680.0,7316.0,14492.0,22488.0
51,Tier 2,2023.0,1869.0,25244.0,31784.0,58897.0
