,Year,HDI Level (2021),Climate,Health,Intersection
1,2011.0,High,0.57,0.82,0.17
6,2012.0,High,0.55,0.82,0.12
11,2013.0,High,0.55,0.86,0.14
16,2014.0,High,0.54,0.85,0.14
21,2015.0,High,0.52,0.85,0.12
26,2016.0,High,0.49,0.83,0.14
31,2017.0,High,0.51,0.85,0.15
36,2018.0,High,0.51,0.83,0.14
41,2019.0,High,0.54,0.84,0.16
46,2020.0,High,0.6,0.87,0.22
51,2021.0,High,0.6,0.86,0.28
56,2022.0,High,0.64,0.86,0.27
61,2023.0,High,0.82,0.91,0.5
2,2011.0,Low,0.5,0.77,0.15
7,2012.0,Low,0.52,0.83,0.24
12,2013.0,Low,0.33,0.77,0.09
17,2014.0,Low,0.34,0.71,0.05
22,2015.0,Low,0.49,0.81,0.12
27,2016.0,Low,0.38,0.78,0.12
32,2017.0,Low,0.4,0.85,0.11
37,2018.0,Low,0.49,0.84,0.16
42,2019.0,Low,0.48,0.79,0.16
47,2020.0,Low,0.57,0.73,0.17
52,2021.0,Low,0.58,0.79,0.21
57,2022.0,Low,0.7,0.88,0.37
62,2023.0,Low,0.77,0.83,0.47
3,2011.0,Medium,0.51,0.8,0.19
8,2012.0,Medium,0.51,0.84,0.17
13,2013.0,Medium,0.48,0.81,0.12
18,2014.0,Medium,0.49,0.8,0.09
23,2015.0,Medium,0.47,0.8,0.13
28,2016.0,Medium,0.51,0.8,0.13
33,2017.0,Medium,0.52,0.81,0.14
38,2018.0,Medium,0.51,0.82,0.15
43,2019.0,Medium,0.57,0.83,0.21
48,2020.0,Medium,0.55,0.84,0.19
53,2021.0,Medium,0.62,0.88,0.33
58,2022.0,Medium,0.67,0.85,0.35
63,2023.0,Medium,0.87,0.9,0.67
4,2011.0,Very High,0.65,0.83,0.19
9,2012.0,Very High,0.58,0.79,0.14
14,2013.0,Very High,0.58,0.79,0.14
19,2014.0,Very High,0.58,0.8,0.15
24,2015.0,Very High,0.59,0.81,0.16
29,2016.0,Very High,0.59,0.81,0.16
34,2017.0,Very High,0.61,0.82,0.18
39,2018.0,Very High,0.62,0.83,0.2
44,2019.0,Very High,0.65,0.85,0.21
49,2020.0,Very High,0.73,0.87,0.31
54,2021.0,Very High,0.75,0.89,0.39
59,2022.0,Very High,0.78,0.88,0.41
64,2023.0,Very High,0.91,0.93,0.62
