,Year,HDI Level (2021),Climate,Health,Intersection
0,2011.0,High,0.0,1.0,0.0
3,2012.0,High,0.52,0.95,0.1
6,2013.0,High,0.43,0.82,0.04
9,2014.0,High,0.47,0.88,0.0
12,2015.0,High,0.35,0.82,0.06
15,2016.0,High,0.28,0.83,0.17
19,2017.0,High,0.55,0.85,0.25
23,2018.0,High,0.59,0.86,0.27
27,2019.0,High,0.55,0.95,0.3
31,2020.0,High,0.5,0.94,0.22
35,2021.0,High,0.38,0.81,0.19
39,2022.0,High,0.59,0.94,0.41
43,2023.0,High,0.74,0.89,0.53
16,2016.0,Low,0.0,1.0,0.0
20,2017.0,Low,0.0,1.0,0.0
24,2018.0,Low,0.0,1.0,0.0
28,2019.0,Low,0.0,1.0,0.0
32,2020.0,Low,0.0,1.0,0.0
36,2021.0,Low,0.0,1.0,0.0
40,2022.0,Low,0.0,1.0,0.0
44,2023.0,Low,1.0,1.0,0.0
1,2011.0,Medium,0.2,1.0,0.0
4,2012.0,Medium,0.5,1.0,0.5
7,2013.0,Medium,0.0,1.0,0.0
10,2014.0,Medium,0.2,1.0,0.2
13,2015.0,Medium,0.17,1.0,0.17
17,2016.0,Medium,0.4,1.0,0.4
21,2017.0,Medium,0.25,1.0,0.0
25,2018.0,Medium,0.25,1.0,0.25
29,2019.0,Medium,0.2,1.0,0.0
33,2020.0,Medium,0.67,1.0,0.0
37,2021.0,Medium,0.33,1.0,0.33
41,2022.0,Medium,0.5,1.0,0.25
45,2023.0,Medium,0.0,1.0,0.0
2,2011.0,Very High,0.54,0.93,0.04
5,2012.0,Very High,0.39,0.95,0.08
8,2013.0,Very High,0.31,0.94,0.06
11,2014.0,Very High,0.47,0.87,0.09
14,2015.0,Very High,0.52,0.93,0.11
18,2016.0,Very High,0.45,0.91,0.09
22,2017.0,Very High,0.55,0.92,0.14
26,2018.0,Very High,0.65,0.96,0.25
30,2019.0,Very High,0.69,0.93,0.31
34,2020.0,Very High,0.67,0.87,0.35
38,2021.0,Very High,0.81,0.95,0.41
42,2022.0,Very High,0.77,0.92,0.46
46,2023.0,Very High,0.92,0.97,0.74
