,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,aerospace & defense,3,3,3,3,1.0,1.0,1.0
1,alternative energy,1,1,1,0,1.0,1.0,0.0
2,automobiles & parts,3,2,2,1,0.67,0.67,0.33
3,banks,10,9,9,6,0.9,0.9,0.6
4,beverages,7,7,7,3,1.0,1.0,0.43
5,chemicals,2,2,2,2,1.0,1.0,1.0
6,construction & materials,9,8,8,5,0.89,0.89,0.56
7,diversified,20,17,19,13,0.85,0.95,0.65
8,electricity,2,2,2,1,1.0,1.0,0.5
9,finance and credit services,6,4,6,2,0.67,1.0,0.33
10,food producers,12,6,10,3,0.5,0.83,0.25
11,"gas, water & multiutilities",2,2,2,0,1.0,1.0,0.0
12,general industrials,15,8,11,3,0.53,0.73,0.2
13,household goods & home cons...,1,1,1,1,1.0,1.0,1.0
14,industrial engineering,1,1,0,0,1.0,0.0,0.0
15,industrial metals and mining,5,5,5,4,1.0,1.0,0.8
16,industrial support services,15,4,11,2,0.27,0.73,0.13
17,industrial transportation,3,2,2,2,0.67,0.67,0.67
18,investment banking and brokerage services,1,1,1,1,1.0,1.0,1.0
19,life insurance,3,2,2,0,0.67,0.67,0.0
20,media,8,5,6,0,0.62,0.75,0.0
21,medical equipment and services; health care providers,4,2,3,0,0.5,0.75,0.0
22,nonlife insurance,4,3,4,1,0.75,1.0,0.25
23,not applicable,3,2,3,1,0.67,1.0,0.33
24,"oil, gas, & coal",3,2,3,0,0.67,1.0,0.0
25,personal goods,3,3,3,2,1.0,1.0,0.67
26,pharmaceuticals & biotechno...,4,3,4,2,0.75,1.0,0.5
27,real estate investment & se...,6,4,6,2,0.67,1.0,0.33
28,real estate investment trusts,3,3,3,3,1.0,1.0,1.0
29,retailers,4,3,4,1,0.75,1.0,0.25
30,software & computer services,3,2,3,2,0.67,1.0,0.67
31,technology hardware & equip...,1,0,1,0,0.0,1.0,0.0
32,telecommunications equipment; telecommunications service providers,4,4,4,2,1.0,1.0,0.5
33,travel & leisure,10,9,10,2,0.9,1.0,0.2
