,Sector,intersection,climate,health
0,aerospace & defense,28.0,303.0,388.0
1,alternative energy,0.0,28.0,144.0
2,automobiles & parts,28.0,121.0,619.0
3,banks,51.0,989.0,824.0
4,beverages,56.0,408.0,926.0
5,chemicals,4.0,40.0,98.0
6,construction & materials,86.0,1282.0,6878.0
7,diversified,174.0,2907.0,3954.0
8,electricity,19.0,588.0,361.0
9,electronic & electrical equ...,2.0,25.0,62.0
10,finance and credit services,4.0,52.0,116.0
11,financial services,13.0,287.0,1113.0
12,food producers,89.0,657.0,3607.0
13,"gas, water & multiutilities",43.0,769.0,1198.0
14,general industrials,44.0,369.0,1551.0
15,household goods & home cons...,3.0,14.0,110.0
16,industrial engineering,15.0,97.0,731.0
17,industrial materials,0.0,40.0,83.0
18,industrial metals & mining,70.0,703.0,2762.0
19,industrial metals and mining,64.0,723.0,1293.0
20,industrial support services,49.0,496.0,2349.0
21,industrial transportation,28.0,288.0,523.0
22,investment banking and brokerage services,5.0,34.0,89.0
23,life insurance,4.0,37.0,482.0
24,media,2.0,73.0,783.0
25,medical equipment and services; health care providers,5.0,41.0,612.0
26,nonlife insurance,37.0,208.0,557.0
27,not applicable,2.0,55.0,114.0
28,"oil, gas, & coal",62.0,491.0,1194.0
29,personal goods,14.0,75.0,320.0
30,pharmaceuticals & biotechno...,214.0,668.0,3338.0
31,real estate investment & se...,6.0,121.0,358.0
32,real estate investment trusts,27.0,227.0,360.0
33,retailers,40.0,512.0,1583.0
34,software & computer services,19.0,218.0,469.0
35,technology hardware & equip...,2.0,12.0,153.0
36,telecommunications equipment; telecommunications service providers,27.0,375.0,903.0
37,travel & leisure,19.0,295.0,1385.0
