,Sector,intersection,health,climate
0,aerospace & defense,1.0,52.67,26.0
1,alternative energy,0.0,18.0,3.0
2,automobiles & parts,0.33,15.33,7.33
3,banks,4.7,60.5,94.7
4,beverages,6.71,71.14,34.29
5,chemicals,2.0,34.0,16.0
6,construction & materials,1.78,53.56,40.33
7,diversified,4.25,77.0,84.35
8,electricity,7.5,97.5,245.5
9,finance and credit services,0.67,18.5,8.5
10,food producers,1.17,27.5,12.33
11,"gas, water & multiutilities",0.0,31.5,17.0
12,general industrials,0.6,16.8,8.13
13,household goods & home cons...,3.0,35.0,5.0
14,industrial engineering,0.0,0.0,3.0
15,industrial metals and mining,10.8,156.6,123.8
16,industrial support services,0.27,7.6,2.27
17,industrial transportation,2.67,55.0,32.33
18,investment banking and brokerage services,1.0,16.0,7.0
19,life insurance,0.0,50.33,3.0
20,media,0.0,13.75,1.38
21,medical equipment and services; health care providers,0.0,19.25,0.5
22,nonlife insurance,1.0,24.25,11.75
23,not applicable,0.33,17.67,2.0
24,"oil, gas, & coal",0.0,17.0,5.0
25,personal goods,3.67,87.67,21.33
26,pharmaceuticals & biotechno...,25.75,191.5,67.5
27,real estate investment & se...,0.67,16.33,7.67
28,real estate investment trusts,6.0,46.67,51.0
29,retailers,0.75,44.75,23.0
30,software & computer services,4.33,53.0,59.33
31,technology hardware & equip...,0.0,5.0,0.0
32,telecommunications equipment; telecommunications service providers,2.75,41.0,38.25
33,travel & leisure,0.3,27.0,7.2
