,Sector,intersection,climate,health
0,automobiles & parts,0.0,0.0,3.0
1,banks,10.0,81.0,133.0
2,construction & materials,3.0,7.0,48.0
3,financial services,21.0,123.0,456.0
4,food producers,6.0,12.0,62.0
5,general industrials,45.0,318.0,896.0
6,household goods & home cons...,0.0,0.0,2.0
7,media,4.0,36.0,41.0
8,nonlife insurance,0.0,6.0,14.0
9,not applicable,2.0,6.0,10.0
10,"oil, gas, & coal",1.0,1.0,40.0
11,personal goods,16.0,57.0,281.0
12,pharmaceuticals & biotechno...,0.0,13.0,202.0
13,retailers,0.0,0.0,7.0
14,software & computer services,0.0,9.0,17.0
15,technology hardware & equip...,0.0,3.0,10.0
