,Sector,intersection,climate,health
0,automobiles & parts,0.0,57.0,26.0
1,banks,36.0,725.0,1266.0
2,beverages,5.0,72.0,144.0
3,construction & materials,0.0,19.0,16.0
4,diversified,7.0,82.0,65.0
5,financial services,13.0,115.0,182.0
6,food producers,2.0,11.0,35.0
7,general industrials,0.0,0.0,15.0
8,industrial metals and mining,0.0,9.0,18.0
9,industrial support services,6.0,99.0,168.0
10,life insurance,2.0,1.0,18.0
11,media,0.0,5.0,64.0
12,not applicable,0.0,4.0,60.0
13,"oil, gas, & coal",9.0,126.0,118.0
14,pharmaceuticals & biotechno...,31.0,124.0,1149.0
15,technology hardware & equip...,0.0,0.0,5.0
16,telecommunications equipment; telecommunications service providers,0.0,40.0,123.0
