,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,7.0,361.0,378.0,746.0
1,Very High,2012.0,20.0,713.0,712.0,1445.0
2,Very High,2013.0,12.0,445.0,487.0,944.0
3,Very High,2014.0,15.0,599.0,628.0,1242.0
4,Very High,2015.0,16.0,569.0,679.0,1264.0
5,Very High,2016.0,21.0,636.0,631.0,1288.0
6,Very High,2017.0,14.0,745.0,869.0,1628.0
7,Very High,2018.0,35.0,925.0,1111.0,2071.0
8,Very High,2019.0,47.0,1148.0,1079.0,2274.0
9,Very High,2020.0,35.0,1407.0,1055.0,2497.0
10,Very High,2021.0,183.0,1865.0,3313.0,5361.0
11,Very High,2022.0,163.0,2965.0,3667.0,6795.0
12,Very High,2023.0,158.0,2722.0,2288.0,5168.0
