,Sector,Climate,Health,Intersection,Year
0,aerospace & defense,0.5,0.9,0.3,2023
1,alternative energy,0.88,1.0,0.25,2023
2,automobiles & parts,1.0,0.5,0.0,2023
3,banks,0.73,0.67,0.13,2023
4,beverages,1.0,1.0,0.43,2023
5,chemicals,0.95,0.95,0.6,2023
6,construction & materials,0.43,0.65,0.22,2023
7,diversified,0.89,0.89,0.43,2023
8,electricity,0.97,0.94,0.71,2023
9,electronic & electrical equ...,0.71,1.0,0.57,2023
10,finance and credit services,0.75,0.62,0.5,2023
11,financial services,0.79,0.74,0.26,2023
12,food producers,0.68,0.9,0.45,2023
13,"gas, water & multiutilities",1.0,1.0,1.0,2023
14,general industrials,0.76,0.9,0.41,2023
15,industrial engineering,1.0,0.71,0.71,2023
16,industrial materials,0.88,0.88,0.12,2023
17,industrial metals and mining,1.0,1.0,1.0,2023
18,industrial support services,0.74,0.86,0.4,2023
19,industrial transportation,0.89,0.91,0.33,2023
20,investment banking and brokerage services,1.0,1.0,1.0,2023
21,leisure goods,0.55,0.27,0.0,2023
22,media,0.83,0.83,0.58,2023
23,medical equipment and services; health care providers,0.35,1.0,0.12,2023
24,nonlife insurance,1.0,1.0,0.67,2023
25,not applicable,0.0,1.0,0.0,2023
26,"oil, gas, & coal",0.71,0.73,0.2,2023
27,pharmaceuticals & biotechno...,1.0,1.0,0.67,2023
28,real estate investment & se...,0.94,1.0,0.17,2023
29,retailers,1.0,1.0,1.0,2023
30,software & computer services,0.88,0.88,0.24,2023
31,technology hardware & equip...,0.78,0.88,0.39,2023
32,telecommunications equipment; telecommunications service providers,1.0,0.0,0.0,2023
33,travel & leisure,0.85,1.0,0.46,2023
