,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,16.0,217.0,392.0,625.0
1,Very High,2012.0,14.0,306.0,380.0,700.0
2,Very High,2013.0,14.0,254.0,507.0,775.0
3,Very High,2014.0,10.0,204.0,301.0,515.0
4,Very High,2015.0,15.0,242.0,365.0,622.0
5,Very High,2016.0,27.0,190.0,215.0,432.0
6,Very High,2017.0,11.0,214.0,405.0,630.0
7,Very High,2018.0,44.0,326.0,600.0,970.0
8,Very High,2019.0,47.0,581.0,871.0,1499.0
9,Very High,2020.0,90.0,699.0,1047.0,1836.0
10,Very High,2021.0,202.0,1430.0,3153.0,4785.0
11,Very High,2022.0,271.0,2434.0,3904.0,6609.0
12,Very High,2023.0,179.0,3116.0,2679.0,5974.0
