,Sector,intersection,health,climate
0,aerospace & defense,0.0,22.0,25.0
1,alternative energy,1.8,47.8,34.2
2,banks,3.17,34.83,35.0
3,beverages,0.0,3.0,14.0
4,chemicals,1.5,47.75,26.75
5,construction & materials,0.86,33.14,10.71
6,diversified,2.39,43.12,49.42
7,electricity,2.67,66.79,85.96
8,electronic & electrical equ...,4.29,72.43,101.14
9,finance and credit services,0.44,26.89,28.11
10,food producers,3.18,60.71,43.06
11,"gas, water & multiutilities",1.25,55.17,21.92
12,general industrials,3.88,42.06,31.81
13,household goods & home cons...,0.0,0.0,0.0
14,industrial engineering,2.0,29.0,43.0
15,industrial materials,4.75,60.5,53.25
16,industrial metals and mining,2.5,65.0,91.0
17,industrial support services,1.22,37.87,21.7
18,industrial transportation,0.33,32.33,17.83
19,investment banking and brokerage services,1.0,52.0,42.0
20,life insurance,18.33,136.33,43.67
21,media,0.0,16.33,13.33
22,medical equipment and services; health care providers,7.8,214.4,18.0
23,nonlife insurance,0.5,39.0,4.0
24,not applicable,1.12,13.0,7.12
25,"oil, gas, & coal",3.78,98.11,81.89
26,personal goods,1.0,32.4,19.4
27,pharmaceuticals & biotechno...,15.33,201.0,82.0
28,real estate investment & se...,1.75,54.75,33.25
29,retailers,3.3,58.0,32.5
30,software & computer services,1.2,23.8,19.13
31,technology hardware & equip...,1.0,26.0,4.0
32,telecommunications equipment; telecommunications service providers,3.25,45.75,48.0
33,travel & leisure,0.0,24.0,3.0
