,HDI Level (2021),Year,intersection,climate,health,sum
0,High,2011.0,33.0,564.0,2122.0,2719.0
1,High,2012.0,35.0,841.0,3013.0,3889.0
2,High,2013.0,36.0,558.0,2617.0,3211.0
3,High,2014.0,25.0,497.0,1733.0,2255.0
4,High,2015.0,13.0,416.0,1920.0,2349.0
5,High,2016.0,28.0,619.0,2157.0,2804.0
6,High,2017.0,20.0,587.0,2009.0,2616.0
7,High,2018.0,56.0,804.0,2502.0,3362.0
8,High,2019.0,40.0,732.0,2836.0,3608.0
9,High,2020.0,59.0,971.0,2826.0,3856.0
10,High,2021.0,250.0,2124.0,8182.0,10556.0
11,High,2022.0,301.0,2809.0,8249.0,11359.0
12,High,2023.0,813.0,11901.0,16145.0,28859.0
