,Sector,Climate,Health,Intersection,Year
0,aerospace & defense,0.68,1.0,0.27,2023
1,alternative energy,0.79,0.88,0.29,2023
2,automobiles & parts,0.17,0.83,0.08,2023
3,banks,0.76,0.81,0.21,2023
4,beverages,0.75,1.0,0.25,2023
5,chemicals,0.49,0.89,0.14,2023
6,construction & materials,0.39,0.81,0.11,2023
7,diversified,0.54,0.8,0.24,2023
8,electricity,0.82,0.93,0.25,2023
9,electronic & electrical equ...,0.74,0.96,0.3,2023
10,finance and credit services,1.0,1.0,0.33,2023
11,financial services,0.69,0.91,0.16,2023
12,food producers,0.64,0.89,0.32,2023
13,"gas, water & multiutilities",0.74,0.81,0.31,2023
14,general industrials,0.49,0.86,0.2,2023
15,household goods & home cons...,0.82,0.91,0.45,2023
16,industrial engineering,0.32,0.82,0.11,2023
17,industrial materials,0.77,0.89,0.3,2023
18,industrial metals & mining,0.81,0.88,0.33,2023
19,industrial metals and mining,0.67,0.83,0.33,2023
20,industrial support services,0.47,0.82,0.09,2023
21,industrial transportation,0.61,0.77,0.2,2023
22,investment banking and brokerage services,1.0,1.0,0.8,2023
23,life insurance,0.48,0.95,0.29,2023
24,media,0.38,0.72,0.08,2023
25,medical equipment and services; health care providers,0.44,0.89,0.21,2023
26,nonlife insurance,0.6,1.0,0.6,2023
27,not applicable,0.39,0.68,0.14,2023
28,"oil, gas, & coal",0.82,0.91,0.39,2023
29,personal goods,0.87,0.97,0.42,2023
30,pharmaceuticals & biotechno...,0.65,0.97,0.41,2023
31,real estate investment & se...,0.43,0.68,0.21,2023
32,retailers,0.64,0.86,0.31,2023
33,software & computer services,0.33,0.72,0.09,2023
34,technology hardware & equip...,0.5,0.65,0.1,2023
35,telecommunications equipment; telecommunications service providers,0.76,0.86,0.45,2023
36,travel & leisure,0.34,0.84,0.12,2023
