,Year,intersection,health,climate
0,2011.0,1.0,28.2,6.8
1,2012.0,0.0,14.833333333333334,3.3333333333333335
2,2013.0,0.5,15.5,4.5
3,2014.0,0.625,25.5,4.375
4,2015.0,0.4,11.1,5.2
5,2016.0,0.375,16.25,9.375
6,2017.0,0.3,16.2,9.6
7,2018.0,0.5555555555555556,17.77777777777778,6.888888888888889
8,2019.0,0.5,13.083333333333334,4.083333333333333
9,2020.0,0.7857142857142857,16.642857142857142,7.0
10,2021.0,1.2173913043478262,34.73913043478261,12.043478260869565
11,2022.0,1.380952380952381,29.714285714285715,16.047619047619047
12,2023.0,2.2941176470588234,45.0,43.411764705882355
