,Sector,intersection,climate,health
0,alternative energy,0.0,1.0,1.0
1,banks,2.0,19.0,52.0
2,chemicals,5.0,45.0,42.0
3,construction & materials,6.0,64.0,136.0
4,diversified,4.0,54.0,57.0
5,finance and credit services,11.0,200.0,108.0
6,financial services,1.0,11.0,58.0
7,food producers,11.0,54.0,135.0
8,general industrials,8.0,105.0,273.0
9,industrial metals & mining,61.0,644.0,1564.0
10,industrial metals and mining,6.0,254.0,253.0
11,industrial support services,2.0,31.0,57.0
12,industrial transportation,8.0,141.0,283.0
13,investment banking and brokerage services,3.0,34.0,66.0
14,media,0.0,0.0,1.0
15,medical equipment and services; health care providers,5.0,13.0,25.0
16,"oil, gas, & coal",4.0,163.0,124.0
17,software & computer services,1.0,15.0,148.0
18,telecommunications equipment; telecommunications service providers,4.0,60.0,290.0
19,travel & leisure,0.0,1.0,26.0
