,SIDS,Year,intersection,climate,health,sum
0,Tier 1,2011.0,18.0,289.0,524.0,831.0
1,Tier 1,2012.0,28.0,445.0,879.0,1352.0
2,Tier 1,2013.0,14.0,282.0,606.0,902.0
3,Tier 1,2014.0,47.0,495.0,1175.0,1717.0
4,Tier 1,2015.0,24.0,325.0,876.0,1225.0
5,Tier 1,2016.0,12.0,278.0,703.0,993.0
6,Tier 1,2017.0,7.0,205.0,482.0,694.0
7,Tier 1,2018.0,15.0,280.0,681.0,976.0
8,Tier 1,2019.0,12.0,237.0,830.0,1079.0
9,Tier 1,2020.0,19.0,184.0,578.0,781.0
10,Tier 1,2021.0,63.0,576.0,2354.0,2993.0
11,Tier 1,2022.0,51.0,627.0,1377.0,2055.0
12,Tier 1,2023.0,209.0,2705.0,3147.0,6061.0
