,Year,WHO,Climate,Health,Intersection
0,2011.0,Western Pacific,0.84,0.85,0.37
1,2012.0,Western Pacific,0.82,0.88,0.4
2,2013.0,Western Pacific,0.86,0.86,0.35
3,2014.0,Western Pacific,0.94,0.97,0.5
4,2015.0,Western Pacific,0.84,0.84,0.45
5,2016.0,Western Pacific,0.72,0.75,0.33
6,2017.0,Western Pacific,0.86,0.89,0.46
7,2018.0,Western Pacific,0.81,0.83,0.46
8,2019.0,Western Pacific,0.81,0.83,0.46
9,2020.0,Western Pacific,0.94,0.86,0.58
10,2021.0,Western Pacific,0.84,0.81,0.53
11,2022.0,Western Pacific,0.88,0.88,0.69
12,2023.0,Western Pacific,0.96,0.93,0.83
