,WHO,Year,intersection,climate,health,sum,Sector
0,Western Pacific,2011.0,9.0,36.0,117.0,162.0,medical equipment and services; health care providers or health care
1,Western Pacific,2012.0,1.0,2.0,109.0,112.0,medical equipment and services; health care providers or health care
2,Western Pacific,2013.0,5.0,26.0,83.0,114.0,medical equipment and services; health care providers or health care
3,Western Pacific,2014.0,0.0,2.0,5.0,7.0,medical equipment and services; health care providers or health care
4,Western Pacific,2016.0,1.0,4.0,58.0,63.0,medical equipment and services; health care providers or health care
5,Western Pacific,2017.0,1.0,4.0,54.0,59.0,medical equipment and services; health care providers or health care
6,Western Pacific,2018.0,0.0,1.0,1.0,2.0,medical equipment and services; health care providers or health care
7,Western Pacific,2019.0,0.0,1.0,1.0,2.0,medical equipment and services; health care providers or health care
8,Western Pacific,2020.0,0.0,1.0,1.0,2.0,medical equipment and services; health care providers or health care
9,Western Pacific,2021.0,0.0,1.0,1.0,2.0,medical equipment and services; health care providers or health care
10,Western Pacific,2022.0,5.0,14.0,45.0,64.0,medical equipment and services; health care providers or health care
11,Western Pacific,2023.0,3.0,19.0,236.0,258.0,medical equipment and services; health care providers or health care
