Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,67,56,57,25,0.84,0.85,0.37
2012.0,90,74,79,36,0.82,0.88,0.4
2013.0,80,69,69,28,0.86,0.86,0.35
2014.0,64,60,62,32,0.94,0.97,0.5
2015.0,62,52,52,28,0.84,0.84,0.45
2016.0,67,48,50,22,0.72,0.75,0.33
2017.0,71,61,63,33,0.86,0.89,0.46
2018.0,52,42,43,24,0.81,0.83,0.46
2019.0,54,44,45,25,0.81,0.83,0.46
2020.0,36,34,31,21,0.94,0.86,0.58
2021.0,89,75,72,47,0.84,0.81,0.53
2022.0,96,84,84,66,0.88,0.88,0.69
2023.0,76,73,71,63,0.96,0.93,0.83
