,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,aerospace & defense,1,1,1,1,1.0,1.0,1.0
1,automobiles & parts,5,5,5,4,1.0,1.0,0.8
2,banks,1,1,1,1,1.0,1.0,1.0
3,chemicals,6,5,5,4,0.83,0.83,0.67
4,construction & materials,2,2,2,2,1.0,1.0,1.0
5,diversified,11,11,11,10,1.0,1.0,0.91
6,electronic & electrical equ...,2,2,2,2,1.0,1.0,1.0
7,finance and credit services,7,7,7,5,1.0,1.0,0.71
8,food producers,1,1,1,1,1.0,1.0,1.0
9,"gas, water & multiutilities",1,1,1,1,1.0,1.0,1.0
10,general industrials,2,2,2,2,1.0,1.0,1.0
11,household goods & home cons...,2,1,1,1,0.5,0.5,0.5
12,industrial engineering,2,2,2,2,1.0,1.0,1.0
13,industrial metals and mining,1,1,1,1,1.0,1.0,1.0
14,industrial support services,4,3,3,3,0.75,0.75,0.75
15,industrial transportation,3,3,3,3,1.0,1.0,1.0
16,life insurance,2,2,2,2,1.0,1.0,1.0
17,media,2,2,2,2,1.0,1.0,1.0
18,medical equipment and services; health care providers,1,1,1,1,1.0,1.0,1.0
19,not applicable,2,2,2,0,1.0,1.0,0.0
20,"oil, gas, & coal",2,2,2,2,1.0,1.0,1.0
21,personal goods,3,3,3,3,1.0,1.0,1.0
22,pharmaceuticals & biotechno...,3,3,3,3,1.0,1.0,1.0
23,real estate investment & se...,1,1,1,1,1.0,1.0,1.0
24,retailers,2,2,2,2,1.0,1.0,1.0
25,software & computer services,3,3,3,2,1.0,1.0,0.67
26,technology hardware & equip...,1,1,1,1,1.0,1.0,1.0
27,telecommunications equipment; telecommunications service providers,1,1,1,1,1.0,1.0,1.0
28,travel & leisure,2,2,0,0,1.0,0.0,0.0
