,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,0.0,4.0,17.0,21.0
1,Very High,2012.0,0.0,15.0,30.0,45.0
2,Very High,2013.0,1.0,12.0,32.0,45.0
3,Very High,2014.0,2.0,21.0,30.0,53.0
4,Very High,2015.0,1.0,11.0,55.0,67.0
5,Very High,2016.0,1.0,36.0,40.0,77.0
6,Very High,2017.0,4.0,90.0,121.0,215.0
7,Very High,2018.0,2.0,119.0,127.0,248.0
8,Very High,2019.0,0.0,63.0,60.0,123.0
9,Very High,2020.0,7.0,88.0,152.0,247.0
10,Very High,2021.0,8.0,149.0,272.0,429.0
11,Very High,2022.0,8.0,141.0,157.0,306.0
12,Very High,2023.0,15.0,403.0,280.0,698.0
