,Year,intersection,health,climate
0,2011.0,0.0,8.5,2.0
1,2012.0,0.0,7.5,3.75
2,2013.0,0.2,6.4,2.4
3,2014.0,0.3333333333333333,5.0,3.5
4,2015.0,0.3333333333333333,18.333333333333332,3.6666666666666665
5,2016.0,0.14285714285714285,5.714285714285714,5.142857142857143
6,2017.0,0.36363636363636365,11.0,8.181818181818182
7,2018.0,0.16666666666666666,10.583333333333334,9.916666666666666
8,2019.0,0.0,7.5,7.875
9,2020.0,1.0,21.714285714285715,12.571428571428571
10,2021.0,0.8,27.2,14.9
11,2022.0,0.6666666666666666,13.083333333333334,11.75
12,2023.0,1.875,35.0,50.375
