,index,LC_grouping,Year,intersection,climate,health,sum
0,0,South and Central America,2011.0,0.0,7.0,209.0,216.0
1,1,South and Central America,2012.0,0.0,39.0,228.0,267.0
2,2,South and Central America,2013.0,3.0,22.0,147.0,172.0
3,3,South and Central America,2014.0,0.0,12.0,167.0,179.0
4,4,South and Central America,2015.0,0.0,13.0,109.0,122.0
5,5,South and Central America,2016.0,0.0,28.0,104.0,132.0
6,6,South and Central America,2017.0,0.0,22.0,82.0,104.0
7,7,South and Central America,2018.0,3.0,46.0,254.0,303.0
8,8,South and Central America,2019.0,7.0,22.0,122.0,151.0
9,9,South and Central America,2020.0,1.0,29.0,167.0,197.0
10,10,South and Central America,2021.0,23.0,114.0,730.0,867.0
11,11,South and Central America,2022.0,11.0,93.0,505.0,609.0
12,12,South and Central America,2023.0,8.0,355.0,509.0,872.0
