,Sector,Climate,Health,Intersection,Year
0,alternative energy,1.0,1.0,1.0,2023
1,beverages,0.8,1.0,0.2,2023
2,construction & materials,1.0,1.0,0.5,2023
3,diversified,0.83,0.83,0.5,2023
4,electricity,0.6,0.9,0.4,2023
5,food producers,1.0,0.67,0.5,2023
6,industrial engineering,1.0,1.0,0.0,2023
7,industrial metals & mining,1.0,1.0,0.0,2023
8,industrial metals and mining,1.0,0.0,0.0,2023
9,industrial transportation,1.0,1.0,0.0,2023
10,media,0.67,0.33,0.0,2023
11,pharmaceuticals & biotechno...,1.0,1.0,0.0,2023
12,retailers,0.71,0.71,0.29,2023
13,telecommunications equipment; telecommunications service providers,0.44,0.78,0.11,2023
