,index,LC_grouping,Year,intersection,climate,health,sum
0,0,South and Central America,2012.0,0.0,34.0,19.0,53.0
1,1,South and Central America,2014.0,0.0,3.0,36.0,39.0
2,2,South and Central America,2015.0,0.0,3.0,54.0,57.0
3,3,South and Central America,2016.0,0.0,3.0,57.0,60.0
4,4,South and Central America,2017.0,2.0,78.0,85.0,165.0
5,5,South and Central America,2018.0,0.0,10.0,41.0,51.0
6,6,South and Central America,2019.0,1.0,28.0,138.0,167.0
7,7,South and Central America,2020.0,3.0,17.0,108.0,128.0
8,8,South and Central America,2021.0,15.0,127.0,279.0,421.0
9,9,South and Central America,2022.0,4.0,71.0,236.0,311.0
10,10,South and Central America,2023.0,21.0,283.0,581.0,885.0
