,Sector,intersection,climate,health
0,banks,3.0,73.0,77.0
1,electricity,5.0,182.0,194.0
2,financial services,0.0,2.0,4.0
3,food producers,2.0,14.0,89.0
4,general industrials,0.0,0.0,0.0
5,industrial metals & mining,0.0,0.0,0.0
6,industrial metals and mining,11.0,181.0,215.0
7,industrial transportation,2.0,61.0,240.0
8,medical equipment and services; health care providers,0.0,0.0,6.0
9,nonlife insurance,1.0,15.0,60.0
10,not applicable,0.0,0.0,9.0
11,"oil, gas, & coal",19.0,303.0,458.0
12,software & computer services,10.0,168.0,127.0
13,telecommunications equipment; telecommunications service providers,3.0,112.0,201.0
