,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,1.0,9.0,30.0,40.0
1,Very High,2012.0,2.0,6.0,35.0,43.0
2,Very High,2013.0,2.0,19.0,90.0,111.0
3,Very High,2014.0,1.0,35.0,52.0,88.0
4,Very High,2015.0,0.0,31.0,58.0,89.0
5,Very High,2016.0,0.0,28.0,82.0,110.0
6,Very High,2017.0,4.0,119.0,154.0,277.0
7,Very High,2018.0,0.0,33.0,108.0,141.0
8,Very High,2019.0,2.0,56.0,85.0,143.0
9,Very High,2020.0,5.0,55.0,69.0,129.0
10,Very High,2021.0,8.0,101.0,178.0,287.0
11,Very High,2022.0,1.0,39.0,96.0,136.0
12,Very High,2023.0,30.0,580.0,643.0,1253.0
