,Sector,intersection,health,climate
0,alternative energy,2.5,74.0,57.0
1,automobiles & parts,4.0,78.0,20.0
2,beverages,1.0,34.0,41.5
3,chemicals,1.0,19.0,4.0
4,construction & materials,2.0,90.75,73.0
5,diversified,1.88,24.25,8.25
6,electricity,3.67,51.0,60.0
7,electronic & electrical equ...,15.0,188.0,487.0
8,finance and credit services,7.0,101.33,147.67
9,food producers,2.0,23.0,8.5
10,"gas, water & multiutilities",1.29,30.0,34.43
11,general industrials,0.33,29.0,6.67
12,industrial metals and mining,1.33,70.67,39.0
13,industrial support services,0.2,22.73,8.0
14,industrial transportation,1.0,34.33,5.33
15,medical equipment and services; health care providers,0.5,97.0,1.0
16,nonlife insurance,2.0,45.0,23.0
17,not applicable,0.0,11.33,6.0
18,"oil, gas, & coal",1.29,37.64,34.64
19,pharmaceuticals & biotechno...,0.0,4.33,0.33
20,retailers,6.0,69.0,29.0
21,software & computer services,5.0,81.5,85.5
22,telecommunications equipment; telecommunications service providers,0.0,36.0,7.0
