,HDI Level (2021),Year,intersection,climate,health,sum
0,High,2011.0,17.0,419.0,1965.0,2401.0
1,High,2012.0,27.0,583.0,3453.0,4063.0
2,High,2013.0,39.0,894.0,5431.0,6364.0
3,High,2014.0,36.0,599.0,3210.0,3845.0
4,High,2015.0,18.0,465.0,2667.0,3150.0
5,High,2016.0,29.0,475.0,2516.0,3020.0
6,High,2017.0,47.0,567.0,3087.0,3701.0
7,High,2018.0,52.0,626.0,3502.0,4180.0
8,High,2019.0,38.0,604.0,2790.0,3432.0
9,High,2020.0,52.0,696.0,3003.0,3751.0
10,High,2021.0,168.0,1199.0,7557.0,8924.0
11,High,2022.0,110.0,1413.0,4686.0,6209.0
12,High,2023.0,161.0,3169.0,3836.0,7166.0
