,Year,LC_grouping,Climate,Health,Intersection
0,2012.0,South and Central America,1.0,1.0,0.0
1,2013.0,South and Central America,0.67,1.0,0.0
2,2014.0,South and Central America,1.0,1.0,0.0
3,2015.0,South and Central America,0.0,1.0,0.0
4,2016.0,South and Central America,0.0,1.0,0.0
5,2017.0,South and Central America,0.83,0.83,0.5
6,2018.0,South and Central America,0.75,0.75,0.5
7,2019.0,South and Central America,1.0,1.0,0.67
8,2020.0,South and Central America,1.0,1.0,0.75
9,2021.0,South and Central America,0.67,0.67,0.33
10,2022.0,South and Central America,1.0,1.0,0.67
11,2023.0,South and Central America,1.0,1.0,0.5
