,Sector,intersection,climate,health
0,alternative energy,13.0,310.0,996.0
1,automobiles & parts,4.0,26.0,136.0
2,banks,6.0,115.0,434.0
3,beverages,19.0,307.0,604.0
4,chemicals,8.0,75.0,504.0
5,construction & materials,48.0,936.0,2963.0
6,diversified,44.0,304.0,1138.0
7,electricity,112.0,2094.0,5007.0
8,electronic & electrical equ...,34.0,583.0,558.0
9,finance and credit services,23.0,449.0,322.0
10,financial services,15.0,399.0,1116.0
11,food producers,23.0,382.0,2562.0
12,"gas, water & multiutilities",32.0,858.0,2509.0
13,general industrials,46.0,541.0,2909.0
14,industrial engineering,3.0,46.0,124.0
15,industrial materials,12.0,190.0,350.0
16,industrial metals & mining,11.0,137.0,377.0
17,industrial metals and mining,24.0,281.0,1512.0
18,industrial support services,56.0,599.0,4401.0
19,industrial transportation,16.0,193.0,1238.0
20,life insurance,0.0,9.0,37.0
21,media,1.0,24.0,223.0
22,medical equipment and services; health care providers,42.0,141.0,3450.0
23,nonlife insurance,7.0,77.0,472.0
24,not applicable,14.0,221.0,2967.0
25,"oil, gas, & coal",109.0,1624.0,6401.0
26,personal goods,1.0,28.0,186.0
27,pharmaceuticals & biotechno...,9.0,43.0,723.0
28,real estate investment & se...,0.0,11.0,41.0
29,retailers,17.0,97.0,457.0
30,software & computer services,18.0,225.0,990.0
31,technology hardware & equip...,0.0,3.0,39.0
32,telecommunications equipment; telecommunications service providers,23.0,312.0,1008.0
33,travel & leisure,4.0,69.0,949.0
