,SIDS,Year,intersection,climate,health,sum
0,Tier 1,2011.0,0.0,2.0,8.0,10.0
1,Tier 1,2012.0,0.0,0.0,13.0,13.0
2,Tier 1,2013.0,0.0,0.0,15.0,15.0
3,Tier 1,2014.0,3.0,31.0,85.0,119.0
4,Tier 1,2015.0,0.0,0.0,22.0,22.0
5,Tier 1,2016.0,1.0,15.0,35.0,51.0
6,Tier 1,2017.0,10.0,94.0,327.0,431.0
7,Tier 1,2018.0,1.0,29.0,75.0,105.0
8,Tier 1,2019.0,0.0,17.0,17.0,34.0
9,Tier 1,2020.0,0.0,2.0,3.0,5.0
10,Tier 1,2021.0,1.0,12.0,72.0,85.0
11,Tier 1,2022.0,0.0,14.0,101.0,115.0
12,Tier 1,2023.0,19.0,300.0,397.0,716.0
