,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,0.0,2.0,8.0,10.0
1,Very High,2012.0,0.0,0.0,13.0,13.0
2,Very High,2013.0,0.0,0.0,15.0,15.0
3,Very High,2014.0,3.0,31.0,85.0,119.0
4,Very High,2015.0,0.0,0.0,22.0,22.0
5,Very High,2016.0,1.0,15.0,35.0,51.0
6,Very High,2017.0,10.0,94.0,327.0,431.0
7,Very High,2018.0,1.0,29.0,75.0,105.0
8,Very High,2019.0,0.0,17.0,17.0,34.0
9,Very High,2020.0,0.0,2.0,3.0,5.0
10,Very High,2021.0,1.0,12.0,72.0,85.0
11,Very High,2022.0,0.0,14.0,101.0,115.0
12,Very High,2023.0,19.0,300.0,397.0,716.0
