Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,14,9,11,4,0.64,0.79,0.29
2012.0,28,15,26,1,0.54,0.93,0.04
2013.0,22,11,19,3,0.5,0.86,0.14
2014.0,15,6,13,0,0.4,0.87,0.0
2015.0,20,10,18,0,0.5,0.9,0.0
2016.0,15,9,14,2,0.6,0.93,0.13
2017.0,15,7,13,1,0.47,0.87,0.07
2018.0,9,5,8,1,0.56,0.89,0.11
2019.0,8,3,7,1,0.38,0.88,0.12
2020.0,7,6,6,3,0.86,0.86,0.43
2021.0,20,12,16,8,0.6,0.8,0.4
2022.0,3,0,3,0,0.0,1.0,0.0
2023.0,16,13,15,13,0.81,0.94,0.81
