,Sector,intersection,climate,health
0,automobiles & parts,0.0,2.0,49.0
1,banks,9.0,332.0,424.0
2,beverages,13.0,120.0,228.0
3,chemicals,6.0,204.0,224.0
4,diversified,2.0,60.0,107.0
5,electricity,7.0,314.0,458.0
6,financial services,2.0,12.0,17.0
7,food producers,13.0,95.0,185.0
8,general industrials,4.0,54.0,122.0
9,industrial metals & mining,8.0,49.0,360.0
10,industrial support services,6.0,177.0,245.0
11,industrial transportation,9.0,66.0,88.0
12,media,0.0,2.0,18.0
13,not applicable,0.0,0.0,4.0
14,"oil, gas, & coal",17.0,269.0,299.0
15,personal goods,0.0,0.0,3.0
16,pharmaceuticals & biotechno...,8.0,61.0,297.0
17,retailers,20.0,209.0,80.0
18,software & computer services,15.0,180.0,155.0
19,technology hardware & equip...,4.0,27.0,62.0
20,telecommunications equipment; telecommunications service providers,3.0,32.0,147.0
