,Year,intersection,health,climate
0,2011.0,1.0,16.642857142857142,9.714285714285714
1,2012.0,0.03571428571428571,6.5,2.642857142857143
2,2013.0,0.2727272727272727,8.0,1.9090909090909092
3,2014.0,0.0,7.533333333333333,1.6
4,2015.0,0.0,10.7,2.7
5,2016.0,0.26666666666666666,8.733333333333333,2.0
6,2017.0,0.13333333333333333,8.066666666666666,2.533333333333333
7,2018.0,0.1111111111111111,18.88888888888889,7.222222222222222
8,2019.0,0.25,11.0,9.375
9,2020.0,0.7142857142857143,26.285714285714285,11.428571428571429
10,2021.0,1.7,35.55,23.2
11,2022.0,0.0,8.666666666666666,0.0
12,2023.0,4.8125,76.4375,73.9375
