,Sector,intersection,climate,health
0,alternative energy,2.0,20.0,85.0
1,automobiles & parts,1.0,4.0,32.0
2,banks,27.0,560.0,1400.0
3,beverages,11.0,147.0,343.0
4,chemicals,0.0,10.0,40.0
5,construction & materials,10.0,97.0,747.0
6,diversified,33.0,496.0,1172.0
7,electricity,0.0,12.0,87.0
8,finance and credit services,6.0,82.0,141.0
9,financial services,1.0,49.0,426.0
10,food producers,41.0,286.0,1781.0
11,"gas, water & multiutilities",0.0,0.0,17.0
12,general industrials,0.0,33.0,125.0
13,industrial metals & mining,14.0,75.0,297.0
14,industrial metals and mining,3.0,59.0,111.0
15,industrial support services,5.0,163.0,480.0
16,industrial transportation,0.0,3.0,45.0
17,life insurance,0.0,0.0,11.0
18,media,0.0,2.0,50.0
19,medical equipment and services; health care providers,20.0,20.0,61.0
20,nonlife insurance,2.0,156.0,442.0
21,not applicable,7.0,37.0,31.0
22,"oil, gas, & coal",7.0,94.0,646.0
23,personal goods,1.0,11.0,74.0
24,pharmaceuticals & biotechno...,6.0,33.0,425.0
25,telecommunications equipment; telecommunications service providers,2.0,40.0,93.0
26,travel & leisure,5.0,42.0,180.0
