,HDI Level (2021),Year,intersection,climate,health,sum
0,High,2011.0,6.0,76.0,105.0,187.0
1,High,2012.0,0.0,33.0,154.0,187.0
2,High,2013.0,1.0,49.0,309.0,359.0
3,High,2014.0,4.0,84.0,444.0,532.0
4,High,2015.0,8.0,46.0,383.0,437.0
5,High,2016.0,7.0,68.0,373.0,448.0
6,High,2017.0,16.0,133.0,607.0,756.0
7,High,2018.0,9.0,89.0,652.0,750.0
8,High,2019.0,7.0,120.0,728.0,855.0
9,High,2020.0,3.0,92.0,714.0,809.0
10,High,2021.0,44.0,311.0,1959.0,2314.0
11,High,2022.0,47.0,427.0,1726.0,2200.0
12,High,2023.0,52.0,1003.0,1188.0,2243.0
