,Sector,intersection,climate,health
0,alternative energy,0.0,0.0,0.0
1,banks,24.0,476.0,558.0
2,construction & materials,7.0,86.0,223.0
3,diversified,15.0,281.0,398.0
4,electricity,0.0,3.0,2.0
5,finance and credit services,0.0,0.0,18.0
6,financial services,18.0,445.0,221.0
7,food producers,0.0,0.0,8.0
8,"gas, water & multiutilities",0.0,2.0,15.0
9,general industrials,5.0,34.0,84.0
10,household goods & home cons...,1.0,2.0,8.0
11,industrial engineering,0.0,5.0,76.0
12,industrial support services,6.0,108.0,184.0
13,industrial transportation,4.0,26.0,62.0
14,media,0.0,6.0,40.0
15,nonlife insurance,0.0,0.0,10.0
16,not applicable,0.0,6.0,222.0
17,"oil, gas, & coal",0.0,0.0,2.0
18,personal goods,5.0,15.0,223.0
19,real estate investment & se...,0.0,31.0,24.0
20,retailers,0.0,0.0,2.0
21,software & computer services,0.0,22.0,21.0
22,technology hardware & equip...,7.0,92.0,115.0
23,telecommunications equipment; telecommunications service providers,3.0,38.0,158.0
24,travel & leisure,0.0,0.0,0.0
