,Sector,Climate,Health,Intersection,Year
0,aerospace & defense,1.0,0.0,0.0,2023
1,construction & materials,1.0,1.0,0.0,2023
2,diversified,0.17,0.67,0.17,2023
3,electronic & electrical equ...,0.0,1.0,0.0,2023
4,finance and credit services,0.0,1.0,0.0,2023
5,general industrials,0.4,1.0,0.0,2023
6,household goods & home cons...,0.0,0.0,0.0,2023
7,industrial materials,0.0,1.0,0.0,2023
8,industrial support services,0.0,1.0,0.0,2023
9,medical equipment and services; health care providers,0.0,1.0,0.0,2023
10,nonlife insurance,0.0,1.0,0.0,2023
11,personal goods,0.14,1.0,0.0,2023
12,pharmaceuticals & biotechno...,0.0,1.0,0.0,2023
13,software & computer services,0.0,0.0,0.0,2023
