Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,18,16,18,10,0.89,1.0,0.56
2012.0,21,16,18,10,0.76,0.86,0.48
2013.0,22,19,20,6,0.86,0.91,0.27
2014.0,23,17,20,4,0.74,0.87,0.17
2015.0,28,21,27,4,0.75,0.96,0.14
2016.0,27,15,23,4,0.56,0.85,0.15
2017.0,32,24,27,8,0.75,0.84,0.25
2018.0,30,22,25,7,0.73,0.83,0.23
2019.0,47,39,42,23,0.83,0.89,0.49
2020.0,37,34,37,20,0.92,1.0,0.54
2021.0,56,49,52,38,0.88,0.93,0.68
2022.0,53,47,47,37,0.89,0.89,0.7
2023.0,45,44,43,34,0.98,0.96,0.76
